"id_dim_dechet","GROUPE DE DECHETS","SOUS-GROUPE DE DECHETS","DESCRIPTION PHYSIQUE","CATEGORIE","FAMILLE IN"
3116,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés"," Boues de décantation ","FMA-VC","F3-2-02"
3118,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés"," Métaux ferreux ","TFA","TFA"
3122,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Boues de décantation ","FMA-VC","F3-2-13"
3124,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Concentrats ","FMA-VC","F3-7-01"
3125,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Déchets électriques et électroniques ","TFA","TFA"
3128,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Gravats ","TFA","TFA"
3130,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Liquides organiques ","FMA-VC","F3-7-01"
3131,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Métaux ferreux ","FMA-VC","F3-7-02"
3132,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Métaux ferreux  ","FMA-VC","F3-2-15"
3135,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Piles, batteries ","TFA","TFA"
3140,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets non conditionnés ou préconditionnés","Terre ","TFA","TFA"
3142,"Déchets pulvérulents et déchets fibreux issus du processus industriel",NA,"résidus contenant du Zircon, entreposés en big bag ","AUTRES","ISD"
3144,NA,NA,"S02 (0,2m3)","AUTRES","S02"
3148,NA,NA,"DIV9-06 (0,12m3)","FA-VL","DIV9"
3151,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,0203m3)","FMA-VC","F3-7-01"
3152,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,0244m3)","FMA-VC","F3-7-01"
3167,NA,NA,"SO: solides organiques (0,12m3)","FMA-VC","F3-7-01"
3168,"Déchets provenant de la fabrication de Fibre Céramique Réfractaire contenant du 
Zirconium.",NA,"Déchets comprenant majoritairement des agglomérats gélifiés de structure vitreuse et une proportion faible de fibre ","AUTRES","ISD"
3169,"Déchets provenant de la fabrication de Fibre Céramique Réfractaire contenant du 
Zirconium.",NA,"Déchets comprenant majoritairement des fibres et quelques particules infibérisées ","AUTRES","ISD"
3170,"Bassin de stockage ",NA,"a) Résidus de traitement de minerais provenant de l'usine  ","AUTRES","RTMU"
3171,"Bassin de stockage ",NA,"b) Boues provenant de la station de traitement des eaux (activité incluse dans 1.a)(1 ensemble de boues)","AUTRES","RTMU"
3172,"Mine à ciel ouvert",NA,"a) Produits de démantèlement de l'usine (gravats) et terres de décapage (activité incluse dans 1.a)  ","AUTRES","DSH"
3173,"Mine à ciel ouvert",NA,"b) Produits de démolition de l'usine (activité incluse dans 1.a) ","AUTRES","DSH"
3174,"Mine à ciel ouvert",NA,"c) stériles miniers venant du domaine public ","AUTRES","RTMU"
3175,"Travaux souterrains",NA,"Résidus de traitement de minerais provenant de l'usine, utilisés en remblayage (1 ensemble de résidus)","AUTRES","RTMU"
3177,"Bassins de stockage",NA,"a) Résidus de traitement de minerais provenant de l'usine  ","AUTRES","RTMU"
3178,"Bassins de stockage",NA,"b) Produits de démantèlement de l'usine [activité incluse dans 1.a](1 ensemble)","AUTRES","DSH"
3179,"Bassins de stockage",NA,"c) Résidus de lixiviation en tas  ","AUTRES","RTMU"
3180,"Bassins de stockage",NA,"d) Résidus de lixiviation en tas, ayant servi à la construction des digues  ","AUTRES","RTMU"
3181,"Bassins de stockage",NA,"e) Boues provenant du traitement des eaux de la station du site [activité incluse dans 1.a] ","AUTRES","RTMU"
3182,NA,NA,"FPA: paratonnerre à l'américium (0,18m3)","MA-VL","DIV2"
3183,NA,NA,"FPR: paratonnerre au radium (0,05m3)","MA-VL","DIV2"
3192,NA,NA,"LA: liquides aqueux (0,54m3)","FMA-VC","F3-7-01"
3196,NA,NA,"S01 (0,000002m3)","AUTRES","S01"
3197,NA,NA,"S04 (0,001m3)","AUTRES","S04"
3198,NA,NA,"S04 (0,092m3)","AUTRES","S04"
3207,NA,NA,"SO: solides organiques (0,005m3)","FMA-VC","F3-7-01"
3212,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,018m3)","FMA-VC","F3-7-01"
3213,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,029m3)","FMA-VC","F3-7-01"
3215,NA,NA,"SI: solides incinérables (0,025m3)","FMA-VC","F3-7-01"
3220,NA,NA,"SI: solides incinérables (0,84m3)","FMA-VC","F3-7-01"
3227,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Crayons absorbants (AIC, Pyrex, Inox)(64 étuis)","MA-VL","F2-2-03"
3230,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes (autres que sources)(260 unités)","MA-VL","F2-2-03"
3232,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Pièces métalliques diverses(9 étuis)","MA-VL","F2-2-03"
3235,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(19 BB1)","TFA","TFA"
3237,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métallique de 2 m3(2 CM2M3)","FMA-VC","F3-7-02"
3239,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 5 m3(1 CM5M3)","FMA-VC","F3-2-15"
3245,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 1,2 m3(10 C4)","FMA-VC","F3-2-05"
3247,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(22 C1)","FMA-VC","F3-2-05"
3248,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(23 C1)","FMA-VC","F3-2-02"
3249,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres F1","FMA-VC","F3-7-01"
3250,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres F1","TFA","TFA"
3251,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(81 F1)","FMA-VC","F3-01"
3252,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts plastiques de 200 litres(165 F6)","FMA-VC","F3-7-01"
3285,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,36m3)","FMA-VC","F3-7-01"
3286,NA,NA,"S02 (0,8m3)","AUTRES","S02"
3288,NA,NA,"TFA-09 (30m3)","TFA","TFA"
3289,NA,NA,"TFA-09 (9m3)","TFA","TFA"
3290,"Déchets de laboratoire",NA,"LA: déchets liquides(0,005 m3 - 1 t )","FMA-VC","F3-7-01"
3291,"Déchets de laboratoire",NA,"SI: solides incinérables(0,36 m3 - 1 t )","FMA-VC","F3-7-01"
3292,"Déchets de laboratoire",NA,"SL: flacons de scintillation(0,02 m3 - 1 t )","FMA-VC","F3-7-01"
3293,"Déchets de laboratoire",NA,"SO: matériel biologique(0,03 m3 - 1 t )","FMA-VC","F3-7-01"
3300,NA,NA,"DIV9-06 (0,0002m3)","FA-VL","DIV9"
3309,NA,NA,"SI: solides incinérables (0,22m3)","FMA-VC","F3-7-01"
3312,NA,NA,"SI: solides incinérables (1,44m3)","FMA-VC","F3-7-01"
3313,NA,NA,"SL: flacons de scintillation en plastique (0,015m3)","FMA-VC","F3-7-01"
3317,NA,NA,"SLV: flacons de scintillation en verre (0,000001m3)","FMA-VC","F3-7-01"
3322,NA,NA,"SO: solides organiques (0,05m3)","FMA-VC","F3-7-01"
3324,NA,NA,"SO: solides organiques (0,17m3)","FMA-VC","F3-7-01"
3325,NA,NA,"TFA-06 (0,03m3)","TFA","TFA"
3326,NA,NA,"TFA-06 (9,752m3)","TFA","TFA"
3327,"Détecteurs d'incendie",NA,"Sources(275177 unités)","AUTRES","S01"
3329,"Déchets de moyenne activité (MA)",NA,"Déchets technologiques incinérables(16,92 m3 - 0,084 t - 94 fûts en polypropylène de  200 litres)","FMA-VC","F3-7-01"
3330,"Déchets solides en attente de traitement",NA,"Déchets solides(0,6 m3 - 0,084 t - 3 fûts métalliques de 200 litres)","FMA-VC","F3-7-01"
3331,"Dechets technologiques issus du démantèlement du STU","CPP-Métaux non compactables","CPP-2,77 m3(20 unite)","TFA","TFA"
3332,"Dechets technologiques issus du démantèlement du STU","CPP-Plastiques durs non compactables","CPP-2,77 m3(7 unite)","TFA","TFA"
3333,"Dechets technologiques issus du démantèlement du STU","Fûts 200 l - Métaux non compactables","Futs de 200 l - Métaux Non compactables(11 unite)","TFA","TFA"
3334,"Dechets technologiques issus du démantèlement du STU","Fûts 200 l - Non métalliques- non compactables","Futs - Non métalliques- non compactables(2 unite)","TFA","TFA"
3335,"Dechets technologiques issus du démantèlement du STU","GRVS - Non métalliques - compactables","GRVS-1m3(67 unite)","TFA","TFA"
3336,"Dechets technologiques issus du démantèlement du STU","GRVS- Non métalliques - non compactables","GRVS -1m3(29 unite)","TFA","TFA"
3337,"Terres TFA","Big bag de terres faiblement contaminées","BB de terres TFA(1 unite)","TFA","TFA"
3338,"Terres TFA","Fûts de terres contaminées- non TFA - ramassage 2012-2013","Futs de 200l - terres  FA-VL non incinérable(4 unite)","FA-VL","DIV6"
3340,"Mine à ciel ouvert (MCO du Cellier)",NA,"Boues de la station de traitement des eaux, dans la MCO et les travaux miniers souterrains  ","AUTRES","RTMU"
3341,"Mine à ciel ouvert (MCO du Cellier)",NA,"Produits de démantèlement de l'usine   ","AUTRES","DSH"
3342,"Mine à ciel ouvert (MCO du Cellier)",NA,"Résidus de traitement de minerais provenant de l'usine   ","AUTRES","RTMU"
3343,"Résidus de traitement par lixiviation en tas",NA,"Boues de la station de traitement des eaux  ","AUTRES","RTMU"
3344,"Résidus de traitement par lixiviation en tas",NA,"Résidus de lixiviation en tas  ","AUTRES","RTMU"
3349,NA,NA,"LA: liquides aqueux (0,0075m3)","FMA-VC","F3-7-01"
3350,NA,NA,"LA: liquides aqueux (0,041m3)","FMA-VC","F3-7-01"
3355,"Déchets de démantèlement",NA,"Laine de roche, laine de verre, activité massique extrêmement faible   (< 1Bq/g) ","AUTRES","DSH"
3356,"Anciens outillages",NA,"Déchets FA(4 m3 - 10 t - 4 conteneur 7C)","FMA-VC","F3-6-04"
3357,"Anciens outillages",NA,"Déchets TFA(8 m3 - 1,385 t - 4 conteneur C2)","TFA","TFA"
